Anys_Periode;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Esp vida Homes;Esp vida Dones
2007-2011;3;Sants-Montjuïc;17;Sants - Badal;812;859
2007-2011;3;Sants-Montjuïc;18;Sants;795;865
2007-2011;4;Les Corts;19;les Corts;811;871
2007-2011;4;Les Corts;20;la Maternitat i Sant Ramon;82;874
2007-2011;4;Les Corts;21;Pedralbes;827;873
2007-2011;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;776;805
2007-2011;5;Sarrià-Sant Gervasi;23;Sarrià;811;876
2007-2011;5;Sarrià-Sant Gervasi;24;les Tres Torres;83;877
2007-2011;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;817;865
2007-2011;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;812;865
2007-2011;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;813;876
2007-2011;6;Gràcia;28;Vallcarca i els Penitents;802;861
2007-2011;6;Gràcia;29;el Coll;796;882
2007-2011;6;Gràcia;30;la Salut;776;841
2007-2011;6;Gràcia;31;la Vila de Gràcia;79;851
2007-2011;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;806;876
2007-2011;7;Horta-Guinardó;33;el Baix Guinardó;812;872
2007-2011;7;Horta-Guinardó;34;Can Baró;789;862
2007-2011;7;Horta-Guinardó;35;el Guinardó;797;864
2007-2011;7;Horta-Guinardó;36;la Font d'en Fargues;797;857
2007-2011;7;Horta-Guinardó;37;el Carmel;787;866
2007-2011;7;Horta-Guinardó;38;la Teixonera;796;848
2007-2011;7;Horta-Guinardó;39;Sant Genís dels Agudells;80;85
2007-2011;7;Horta-Guinardó;40;Montbau;749;813
2007-2011;7;Horta-Guinardó;41;la Vall d'Hebron;807;853
2007-2011;7;Horta-Guinardó;43;Horta;788;855
2007-2011;8;Nou Barris;44;Vilapicina i la Torre Llobeta;791;872
2007-2011;8;Nou Barris;45;Porta;798;86
2007-2011;8;Nou Barris;46;el Turó de la Peira;79;878
2007-2011;8;Nou Barris;47;Can Peguera;723;797
2007-2011;8;Nou Barris;48;la Guineueta;786;859
2007-2011;8;Nou Barris;49;Canyelles;793;86
2007-2011;8;Nou Barris;50;les Roquetes;767;861
2007-2011;8;Nou Barris;51;Verdun;778;866
2007-2011;8;Nou Barris;52;la Prosperitat;793;871
2007-2011;8;Nou Barris;53;la Trinitat Nova;759;845
2007-2011;8;Nou Barris;54;Torre Baró;707;817
2007-2011;8;Nou Barris;55;Ciutat Meridiana;78;853
2007-2011;9;Sant Andreu;57;la Trinitat Vella;777;858
2007-2011;9;Sant Andreu;58;Baró de Viver;712;799
2007-2011;9;Sant Andreu;59;el Bon Pastor;778;848
2007-2011;9;Sant Andreu;60;Sant Andreu;797;864
2007-2011;9;Sant Andreu;61;la Sagrera;813;871
2007-2011;9;Sant Andreu;62;el Congrés i els Indians;792;875
2007-2011;9;Sant Andreu;63;Navas;804;874
2007-2011;10;Sant Martí;64;el Camp de l'Arpa del Clot;804;866
2007-2011;10;Sant Martí;65;el Clot;803;867
2007-2011;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;798;854
2007-2011;10;Sant Martí;67;la Vila Olímpica del Poblenou;826;87
2007-2011;10;Sant Martí;68;el Poblenou;787;857
2007-2011;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;809;873
2007-2011;10;Sant Martí;70;el Besòs i el Maresme;781;85
2007-2011;10;Sant Martí;71;Provençals del Poblenou;788;867
2007-2011;10;Sant Martí;72;Sant Martí de Provençals;795;861
2007-2011;10;Sant Martí;73;la Verneda i la Pau;797;858
2008-2012;1;Ciutat Vella;1;el Raval;757;847
2008-2012;1;Ciutat Vella;2;el Barri Gòtic;789;844
2008-2012;1;Ciutat Vella;3;la Barceloneta;758;844
2008-2012;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;777;861
2008-2012;2;Eixample;5;el Fort Pienc;809;872
2008-2012;2;Eixample;6;la Sagrada Família;81;868
2008-2012;2;Eixample;7;la Dreta de l'Eixample;793;851
2008-2012;2;Eixample;8;l'Antiga Esquerra de l'Eixample;803;863
2008-2012;2;Eixample;9;la Nova Esquerra de l'Eixample;80;875
2008-2012;2;Eixample;10;Sant Antoni;794;865
2008-2012;3;Sants-Montjuïc;11;el Poble Sec;787;856
2008-2012;3;Sants-Montjuïc;13;la Marina de Port;799;865
2008-2012;3;Sants-Montjuïc;14;la Font de la Guatlla;781;851
2008-2012;3;Sants-Montjuïc;15;Hostafrancs;787;863
2008-2012;3;Sants-Montjuïc;16;la Bordeta;804;856
2008-2012;3;Sants-Montjuïc;17;Sants - Badal;812;864
2008-2012;3;Sants-Montjuïc;18;Sants;802;862
2008-2012;4;Les Corts;19;les Corts;814;874
2008-2012;4;Les Corts;20;la Maternitat i Sant Ramon;821;875
2008-2012;4;Les Corts;21;Pedralbes;833;875
2008-2012;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;778;804
2008-2012;5;Sarrià-Sant Gervasi;23;Sarrià;812;871
2008-2012;5;Sarrià-Sant Gervasi;24;les Tres Torres;832;876
2008-2012;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;818;865
2008-2012;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;813;864
2008-2012;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;817;878
2008-2012;6;Gràcia;28;Vallcarca i els Penitents;806;864
2008-2012;6;Gràcia;29;el Coll;807;882
2008-2012;6;Gràcia;30;la Salut;786;844
2008-2012;6;Gràcia;31;la Vila de Gràcia;791;854
2008-2012;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;81;876
2008-2012;7;Horta-Guinardó;33;el Baix Guinardó;811;868
2008-2012;7;Horta-Guinardó;34;Can Baró;803;86
2008-2012;7;Horta-Guinardó;35;el Guinardó;801;87
2008-2012;7;Horta-Guinardó;36;la Font d'en Fargues;798;856
2008-2012;7;Horta-Guinardó;37;el Carmel;79;872
2008-2012;7;Horta-Guinardó;38;la Teixonera;798;85
2008-2012;7;Horta-Guinardó;39;Sant Genís dels Agudells;813;846
2008-2012;7;Horta-Guinardó;40;Montbau;759;819
2008-2012;7;Horta-Guinardó;41;la Vall d'Hebron;804;86
2008-2012;7;Horta-Guinardó;43;Horta;794;855
2008-2012;8;Nou Barris;44;Vilapicina i la Torre Llobeta;797;872
2008-2012;8;Nou Barris;45;Porta;799;865
2008-2012;8;Nou Barris;46;el Turó de la Peira;80;88
2008-2012;8;Nou Barris;47;Can Peguera;718;803
2008-2012;8;Nou Barris;48;la Guineueta;788;861
2008-2012;8;Nou Barris;49;Canyelles;798;859
2008-2012;8;Nou Barris;50;les Roquetes;768;859
2008-2012;8;Nou Barris;51;Verdun;781;869
2008-2012;8;Nou Barris;52;la Prosperitat;801;874
2008-2012;8;Nou Barris;53;la Trinitat Nova;754;841
2008-2012;8;Nou Barris;54;Torre Baró;695;816
2008-2012;8;Nou Barris;55;Ciutat Meridiana;782;857
2008-2012;9;Sant Andreu;57;la Trinitat Vella;79;863
2008-2012;9;Sant Andreu;59;el Bon Pastor;78;856
2008-2012;9;Sant Andreu;60;Sant Andreu;803;867
