Anys_Periode;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Esp vida Homes;Esp vida Dones
2012-2016;2;Eixample;6;la Sagrada Família;815;875
2012-2016;2;Eixample;7;la Dreta de l'Eixample;808;854
2012-2016;2;Eixample;8;l'Antiga Esquerra de l'Eixample;814;868
2012-2016;2;Eixample;9;la Nova Esquerra de l'Eixample;813;89
2012-2016;2;Eixample;10;Sant Antoni;813;881
2012-2016;3;Sants-Montjuïc;11;el Poble Sec;793;867
2012-2016;3;Sants-Montjuïc;13;la Marina de Port;802;878
2012-2016;3;Sants-Montjuïc;14;la Font de la Guatlla;798;849
2012-2016;3;Sants-Montjuïc;15;Hostafrancs;813;866
2012-2016;3;Sants-Montjuïc;16;la Bordeta;807;867
2012-2016;3;Sants-Montjuïc;17;Sants - Badal;825;877
2012-2016;3;Sants-Montjuïc;18;Sants;824;868
2012-2016;4;Les Corts;19;les Corts;832;878
2012-2016;4;Les Corts;20;la Maternitat i Sant Ramon;838;896
2012-2016;4;Les Corts;21;Pedralbes;835;887
2012-2016;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;776;819
2012-2016;5;Sarrià-Sant Gervasi;23;Sarrià;821;866
2012-2016;5;Sarrià-Sant Gervasi;24;les Tres Torres;842;873
2012-2016;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;821;866
2012-2016;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;829;875
2012-2016;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;83;882
2012-2016;6;Gràcia;28;Vallcarca i els Penitents;82;865
2012-2016;6;Gràcia;29;el Coll;819;876
2012-2016;6;Gràcia;30;la Salut;783;853
2012-2016;6;Gràcia;31;la Vila de Gràcia;806;863
2012-2016;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;814;868
2012-2016;7;Horta-Guinardó;33;el Baix Guinardó;811;864
2012-2016;7;Horta-Guinardó;34;Can Baró;812;867
2012-2016;7;Horta-Guinardó;35;el Guinardó;811;887
2012-2016;7;Horta-Guinardó;36;la Font d'en Fargues;818;861
2012-2016;7;Horta-Guinardó;37;el Carmel;799;882
2012-2016;7;Horta-Guinardó;38;la Teixonera;807;874
2012-2016;7;Horta-Guinardó;39;Sant Genís dels Agudells;809;854
2012-2016;7;Horta-Guinardó;40;Montbau;768;853
2012-2016;7;Horta-Guinardó;41;la Vall d'Hebron;809;86
2012-2016;7;Horta-Guinardó;43;Horta;82;862
2012-2016;8;Nou Barris;44;Vilapicina i la Torre Llobeta;807;875
2012-2016;8;Nou Barris;45;Porta;812;881
2012-2016;8;Nou Barris;46;el Turó de la Peira;815;904
2012-2016;8;Nou Barris;48;la Guineueta;811;888
2012-2016;8;Nou Barris;49;Canyelles;806;872
2012-2016;8;Nou Barris;50;les Roquetes;789;868
2012-2016;8;Nou Barris;51;Verdun;794;886
2012-2016;8;Nou Barris;52;la Prosperitat;812;887
2012-2016;8;Nou Barris;53;la Trinitat Nova;752;832
2012-2016;8;Nou Barris;55;Ciutat Meridiana;799;90
2012-2016;9;Sant Andreu;57;la Trinitat Vella;813;893
2012-2016;9;Sant Andreu;59;el Bon Pastor;784;87
2012-2016;9;Sant Andreu;60;Sant Andreu;818;881
2012-2016;9;Sant Andreu;61;la Sagrera;824;882
2012-2016;9;Sant Andreu;62;el Congrés i els Indians;82;876
2012-2016;9;Sant Andreu;63;Navas;825;895
2012-2016;10;Sant Martí;64;el Camp de l'Arpa del Clot;817;879
2012-2016;10;Sant Martí;65;el Clot;823;883
2012-2016;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;809;865
2012-2016;10;Sant Martí;68;el Poblenou;803;875
2012-2016;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;836;868
2012-2016;10;Sant Martí;70;el Besòs i el Maresme;798;877
2012-2016;10;Sant Martí;71;Provençals del Poblenou;817;88
2012-2016;10;Sant Martí;72;Sant Martí de Provençals;805;884
2012-2016;10;Sant Martí;73;la Verneda i la Pau;808;876
2013-2017;1;Ciutat Vella;1;el Raval;772;857
2013-2017;1;Ciutat Vella;2;el Barri Gòtic;775;866
2013-2017;1;Ciutat Vella;3;la Barceloneta;767;847
2013-2017;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;795;858
2013-2017;2;Eixample;5;el Fort Pienc;821;863
2013-2017;2;Eixample;6;la Sagrada Família;812;878
2013-2017;2;Eixample;7;la Dreta de l'Eixample;814;855
2013-2017;2;Eixample;8;l'Antiga Esquerra de l'Eixample;816;871
2013-2017;2;Eixample;9;la Nova Esquerra de l'Eixample;817;889
2013-2017;2;Eixample;10;Sant Antoni;823;883
2013-2017;3;Sants-Montjuïc;11;el Poble Sec;794;868
2013-2017;3;Sants-Montjuïc;13;la Marina de Port;811;877
2013-2017;3;Sants-Montjuïc;14;la Font de la Guatlla;796;856
2013-2017;3;Sants-Montjuïc;15;Hostafrancs;816;863
2013-2017;3;Sants-Montjuïc;16;la Bordeta;817;882
2013-2017;3;Sants-Montjuïc;17;Sants - Badal;825;881
2013-2017;3;Sants-Montjuïc;18;Sants;825;871
2013-2017;4;Les Corts;19;les Corts;835;881
2013-2017;4;Les Corts;20;la Maternitat i Sant Ramon;84;902
2013-2017;4;Les Corts;21;Pedralbes;837;897
2013-2017;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;783;821
2013-2017;5;Sarrià-Sant Gervasi;23;Sarrià;828;867
2013-2017;5;Sarrià-Sant Gervasi;24;les Tres Torres;843;873
2013-2017;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;823;869
2013-2017;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;829;885
2013-2017;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;824;888
2013-2017;6;Gràcia;28;Vallcarca i els Penitents;82;865
2013-2017;6;Gràcia;29;el Coll;829;88
2013-2017;6;Gràcia;30;la Salut;79;857
2013-2017;6;Gràcia;31;la Vila de Gràcia;812;867
2013-2017;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;814;869
2013-2017;7;Horta-Guinardó;33;el Baix Guinardó;807;867
2013-2017;7;Horta-Guinardó;34;Can Baró;802;868
2013-2017;7;Horta-Guinardó;35;el Guinardó;822;886
2013-2017;7;Horta-Guinardó;36;la Font d'en Fargues;827;868
2013-2017;7;Horta-Guinardó;37;el Carmel;803;881
2013-2017;7;Horta-Guinardó;38;la Teixonera;798;866
2013-2017;7;Horta-Guinardó;39;Sant Genís dels Agudells;791;859
2013-2017;7;Horta-Guinardó;40;Montbau;769;854
2013-2017;7;Horta-Guinardó;41;la Vall d'Hebron;803;861
2013-2017;7;Horta-Guinardó;43;Horta;819;871
2013-2017;8;Nou Barris;44;Vilapicina i la Torre Llobeta;811;876
2013-2017;8;Nou Barris;45;Porta;814;883
2013-2017;8;Nou Barris;46;el Turó de la Peira;81;904
2013-2017;8;Nou Barris;48;la Guineueta;823;889
2013-2017;8;Nou Barris;49;Canyelles;806;873
2013-2017;8;Nou Barris;50;les Roquetes;793;867
2013-2017;8;Nou Barris;51;Verdun;801;888
2013-2017;8;Nou Barris;52;la Prosperitat;815;89
2013-2017;8;Nou Barris;53;la Trinitat Nova;763;837
2013-2017;8;Nou Barris;55;Ciutat Meridiana;802;898
2013-2017;9;Sant Andreu;57;la Trinitat Vella;814;89
2013-2017;9;Sant Andreu;59;el Bon Pastor;782;865
2013-2017;9;Sant Andreu;60;Sant Andreu;818;882
2013-2017;9;Sant Andreu;61;la Sagrera;825;882
2013-2017;9;Sant Andreu;62;el Congrés i els Indians;815;879
2013-2017;9;Sant Andreu;63;Navas;83;892
2013-2017;10;Sant Martí;64;el Camp de l'Arpa del Clot;822;877
2013-2017;10;Sant Martí;65;el Clot;827;88
2013-2017;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;809;865
2013-2017;10;Sant Martí;68;el Poblenou;805;875
2013-2017;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;838;872
2013-2017;10;Sant Martí;70;el Besòs i el Maresme;802;884
2013-2017;10;Sant Martí;71;Provençals del Poblenou;82;881
2013-2017;10;Sant Martí;72;Sant Martí de Provençals;809;888
2013-2017;10;Sant Martí;73;la Verneda i la Pau;809;877
2014-2018;1;Ciutat Vella;1;el Raval;774;857
2014-2018;1;Ciutat Vella;2;el Barri Gòtic;78;87
2014-2018;1;Ciutat Vella;3;la Barceloneta;765;848
2014-2018;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;796;861
2014-2018;2;Eixample;5;el Fort Pienc;821;866
2014-2018;2;Eixample;6;la Sagrada Família;814;879
2014-2018;2;Eixample;7;la Dreta de l'Eixample;815;857
2014-2018;2;Eixample;8;l'Antiga Esquerra de l'Eixample;82;871
2014-2018;2;Eixample;9;la Nova Esquerra de l'Eixample;818;885
2014-2018;2;Eixample;10;Sant Antoni;827;878
2014-2018;3;Sants-Montjuïc;11;el Poble Sec;796;865
2014-2018;3;Sants-Montjuïc;13;la Marina de Port;812;872
2014-2018;3;Sants-Montjuïc;14;la Font de la Guatlla;804;854
2014-2018;3;Sants-Montjuïc;15;Hostafrancs;817;863
2014-2018;3;Sants-Montjuïc;16;la Bordeta;817;886
2014-2018;3;Sants-Montjuïc;17;Sants - Badal;825;879
2014-2018;3;Sants-Montjuïc;18;Sants;826;879
2014-2018;4;Les Corts;19;les Corts;837;876
2014-2018;4;Les Corts;20;la Maternitat i Sant Ramon;84;901
2014-2018;4;Les Corts;21;Pedralbes;841;892
2014-2018;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;824;815
2014-2018;5;Sarrià-Sant Gervasi;23;Sarrià;824;866
2014-2018;5;Sarrià-Sant Gervasi;24;les Tres Torres;842;872
2014-2018;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;821;868
2014-2018;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;829;888
2014-2018;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;824;893
2014-2018;6;Gràcia;28;Vallcarca i els Penitents;825;867
2014-2018;6;Gràcia;29;el Coll;812;881
2014-2018;6;Gràcia;30;la Salut;798;854
2014-2018;6;Gràcia;31;la Vila de Gràcia;812;869
2014-2018;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;816;873
2014-2018;7;Horta-Guinardó;33;el Baix Guinardó;81;86
2014-2018;7;Horta-Guinardó;34;Can Baró;799;873
2014-2018;7;Horta-Guinardó;35;el Guinardó;823;884
2014-2018;7;Horta-Guinardó;36;la Font d'en Fargues;83;872
2014-2018;7;Horta-Guinardó;37;el Carmel;802;88
2014-2018;7;Horta-Guinardó;38;la Teixonera;796;876
2014-2018;7;Horta-Guinardó;39;Sant Genís dels Agudells;787;857
2014-2018;7;Horta-Guinardó;40;Montbau;762;846
2014-2018;7;Horta-Guinardó;41;la Vall d'Hebron;808;87
2014-2018;7;Horta-Guinardó;43;Horta;816;877
2014-2018;8;Nou Barris;44;Vilapicina i la Torre Llobeta;816;879
2014-2018;8;Nou Barris;45;Porta;815;882
2014-2018;8;Nou Barris;46;el Turó de la Peira;807;902
2014-2018;8;Nou Barris;48;la Guineueta;775;897
2014-2018;8;Nou Barris;49;Canyelles;808;876
2014-2018;8;Nou Barris;50;les Roquetes;796;872
2014-2018;8;Nou Barris;51;Verdun;798;886
2014-2018;8;Nou Barris;52;la Prosperitat;816;888
2014-2018;8;Nou Barris;53;la Trinitat Nova;756;843
2014-2018;8;Nou Barris;55;Ciutat Meridiana;806;89
2014-2018;9;Sant Andreu;57;la Trinitat Vella;811;888
2014-2018;9;Sant Andreu;60;Sant Andreu;825;882
2014-2018;9;Sant Andreu;61;la Sagrera;827;883
2014-2018;9;Sant Andreu;62;el Congrés i els Indians;814;876
2014-2018;9;Sant Andreu;63;Navas;825;889
2014-2018;10;Sant Martí;64;el Camp de l'Arpa del Clot;818;875
2014-2018;10;Sant Martí;65;el Clot;828;878
2014-2018;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;812;874
2014-2018;10;Sant Martí;68;el Poblenou;807;867
2014-2018;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;839;868
2014-2018;10;Sant Martí;70;el Besòs i el Maresme;801;886
2014-2018;10;Sant Martí;71;Provençals del Poblenou;824;878
2014-2018;10;Sant Martí;72;Sant Martí de Provençals;813;893
2014-2018;10;Sant Martí;73;la Verneda i la Pau;815;877
2015-2019;1;Ciutat Vella;1;el Raval;776;859
2015-2019;1;Ciutat Vella;2;el Barri Gòtic;787;867
2015-2019;1;Ciutat Vella;3;la Barceloneta;768;842
2015-2019;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;805;859
2015-2019;2;Eixample;5;el Fort Pienc;821;869
2015-2019;2;Eixample;6;la Sagrada Família;814;88
2015-2019;2;Eixample;7;la Dreta de l'Eixample;819;858
2015-2019;2;Eixample;8;l'Antiga Esquerra de l'Eixample;824;868
2015-2019;2;Eixample;9;la Nova Esquerra de l'Eixample;825;885
2015-2019;2;Eixample;10;Sant Antoni;835;884
2015-2019;3;Sants-Montjuïc;11;el Poble Sec;799;865
2015-2019;3;Sants-Montjuïc;12;la Marina del Prat Vermell;769;84
2015-2019;3;Sants-Montjuïc;13;la Marina de Port;812;875
2015-2019;3;Sants-Montjuïc;14;la Font de la Guatlla;808;855
2015-2019;3;Sants-Montjuïc;15;Hostafrancs;819;87
2015-2019;3;Sants-Montjuïc;16;la Bordeta;821;889
2015-2019;3;Sants-Montjuïc;17;Sants - Badal;824;881
2015-2019;3;Sants-Montjuïc;18;Sants;826;884
2015-2019;4;Les Corts;19;les Corts;833;878
2015-2019;4;Les Corts;20;la Maternitat i Sant Ramon;839;892
2015-2019;4;Les Corts;21;Pedralbes;851;899
2015-2019;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;79;829
2015-2019;5;Sarrià-Sant Gervasi;23;Sarrià;827;868
2015-2019;5;Sarrià-Sant Gervasi;24;les Tres Torres;847;873
2015-2019;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;824;87
2015-2019;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;832;887
2015-2019;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;829;89
2015-2019;6;Gràcia;28;Vallcarca i els Penitents;834;876
2015-2019;6;Gràcia;29;el Coll;817;89
2015-2019;6;Gràcia;30;la Salut;79;853
2015-2019;6;Gràcia;31;la Vila de Gràcia;814;874
2015-2019;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;821;88
2015-2019;7;Horta-Guinardó;33;el Baix Guinardó;821;867
2015-2019;7;Horta-Guinardó;34;Can Baró;801;872
2015-2019;7;Horta-Guinardó;35;el Guinardó;828;883
2015-2019;7;Horta-Guinardó;36;la Font d'en Fargues;831;873
2015-2019;7;Horta-Guinardó;37;el Carmel;806;884
2015-2019;7;Horta-Guinardó;38;la Teixonera;795;875
2015-2019;7;Horta-Guinardó;39;Sant Genís dels Agudells;786;869
2015-2019;7;Horta-Guinardó;40;Montbau;769;832
2015-2019;7;Horta-Guinardó;41;la Vall d'Hebron;815;876
2015-2019;7;Horta-Guinardó;42;la Clota;814;817
2015-2019;7;Horta-Guinardó;43;Horta;814;879
2015-2019;8;Nou Barris;44;Vilapicina i la Torre Llobeta;819;887
2015-2019;8;Nou Barris;45;Porta;82;884
2015-2019;8;Nou Barris;46;el Turó de la Peira;808;898
2015-2019;8;Nou Barris;47;Can Peguera;778;858
2015-2019;8;Nou Barris;48;la Guineueta;819;892
2015-2019;8;Nou Barris;49;Canyelles;805;877
2015-2019;8;Nou Barris;50;les Roquetes;797;879
2015-2019;8;Nou Barris;51;Verdun;80;882
2015-2019;8;Nou Barris;52;la Prosperitat;817;891
2015-2019;8;Nou Barris;53;la Trinitat Nova;753;841
2015-2019;8;Nou Barris;54;Torre Baró;772;85
2015-2019;8;Nou Barris;55;Ciutat Meridiana;821;889
2015-2019;8;Nou Barris;56;Vallbona;745;817
2015-2019;9;Sant Andreu;57;la Trinitat Vella;812;90
2015-2019;9;Sant Andreu;58;Baró de Viver;749;867
2015-2019;9;Sant Andreu;59;el Bon Pastor;788;866
2015-2019;9;Sant Andreu;60;Sant Andreu;828;882
2015-2019;9;Sant Andreu;61;la Sagrera;824;883
2015-2019;9;Sant Andreu;62;el Congrés i els Indians;823;882
2015-2019;9;Sant Andreu;63;Navas;827;883
2015-2019;10;Sant Martí;64;el Camp de l'Arpa del Clot;815;876
2015-2019;10;Sant Martí;65;el Clot;829;88
2015-2019;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;821;879
2015-2019;10;Sant Martí;67;la Vila Olímpica del Poblenou;864;887
2015-2019;10;Sant Martí;68;el Poblenou;81;871
2015-2019;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;844;871
2015-2019;10;Sant Martí;70;el Besòs i el Maresme;802;888
2015-2019;10;Sant Martí;71;Provençals del Poblenou;818;881
2015-2019;10;Sant Martí;72;Sant Martí de Provençals;816;898
2015-2019;10;Sant Martí;73;la Verneda i la Pau;813;879
